from,to,relation
ACT957,FUN1805,undo
ACT957,FUN1928,isInfluenced
ACT957,FUN1928,relevant
ACT957,FUN2177,relevant
ACT957,FUN910,relevant
ACT960,FUN1812,relevant
ACT964,STR_COM2974,isInfluenced
ACT974,STR_COM1755,undo
ACT979,APP_CON1529,undo
ACT979,APP_CON645,undo
ACT979,FUN1883,relevant
ACT979,FUN1884,relevant
ACT979,FUN1887,relevant
ACT981,APP_CON1523,contain
ACT988,APP_CON1530,relevant
ACT989,STR_COM3067,relevant
ACT989,STR_COM3068,relevant
ACT991,ACT994,isContained
ACT991,FUN1615,execute
ACT991,FUN1929,execute
ACT991,IDEN2196,relevant
ACT991,IDEN2206,execute
ACT991,IDEN2295,relevant
ACT991,STR_COM3073,execute
ACT992,FUN1615,relevant
ACT992,IDEN2206,relevant
ACT992,STR_COM3075,contain
ACT993,FUN1929,execute
ACT993,IDEN2209,relevant
ACT994,ACT991,contain
ACT994,APP_CON778,relevant
ACT994,STR_COM3081,relevant
ACT994,STR_COM3082,relevant
ACT994,VALUE745,relevant
ACT994,VALUE746,relevant
ACT994,VALUE747,relevant
APP_CON001,FUN1638,relevant
APP_CON001,FUN1646,relevant
APP_CON001,FUN1662,relevant
APP_CON001,FUN1664,relevant
APP_CON001,FUN1674,relevant
APP_CON001,FUN1712,relevant
APP_CON001,FUN1718,relevant
APP_CON001,STR_COM002,relevant
APP_CON001,STR_COM010,relevant
APP_CON001,STR_COM2358,relevant
APP_CON002,STR_COM002,relevant
APP_CON002,STR_COM010,relevant
APP_CON003,APP_CON1359,relevant
APP_CON003,APP_CON1369,relevant
APP_CON003,APP_CON1418,relevant
APP_CON003,APP_CON778,relevant
APP_CON003,APP_CON811,relevant
APP_CON003,FUN008,relevant
APP_CON003,FUN1645,relevant
APP_CON003,FUN1646,relevant
APP_CON003,FUN1712,relevant
APP_CON003,FUN1871,relevant
APP_CON003,STR_COM003,relevant
APP_CON003,STR_COM2677,relevant
APP_CON003,STR_COM2775,relevant
APP_CON003,STR_COM2892,relevant
APP_CON003,STR_COM2893,relevant
APP_CON003,STR_COM3660,relevant
APP_CON005,ACT566,relevant
APP_CON005,APP_CON1450,relevant
APP_CON005,APP_CON181,relevant
APP_CON005,APP_CON776,relevant
APP_CON005,APP_CON778,relevant
APP_CON005,APP_CON811,relevant
APP_CON005,APP_CON812,relevant
APP_CON005,APP_CON813,relevant
APP_CON005,APP_CON818,relevant
APP_CON005,APP_CON838,relevant
APP_CON005,APP_CON855,relevant
APP_CON005,APP_CON859,relevant
APP_CON005,APP_CON861,relevant
APP_CON005,APP_CON929,relevant
APP_CON005,FUN1003,relevant
APP_CON005,FUN1004,relevant
APP_CON005,FUN1157,relevant
APP_CON005,FUN1557,relevant
APP_CON005,FUN1559,undo
APP_CON005,FUN1560,relevant
APP_CON005,FUN1560,undo
APP_CON005,FUN1561,undo
APP_CON005,FUN1616,accomplish
APP_CON005,FUN1708,relevant
APP_CON005,FUN1711,relevant
APP_CON005,FUN1872,relevant
APP_CON005,FUN1873,relevant
APP_CON005,FUN1929,relevant
APP_CON005,FUN2176,relevant
APP_CON005,FUN2262,relevant
APP_CON005,FUN296,relevant
APP_CON005,FUN303,relevant
APP_CON005,FUN303,undo
APP_CON005,FUN317,relevant
APP_CON005,FUN945,relevant
APP_CON005,FUN981,relevant
APP_CON005,STR_COM029,contain
APP_CON005,STR_COM029,relevant
APP_CON005,STR_COM031,relevant
APP_CON005,STR_COM1608,isContained
APP_CON005,STR_COM1608,relevant
APP_CON005,STR_COM1718,relevant
APP_CON005,STR_COM1755,isContained
APP_CON005,STR_COM1755,relevant
APP_CON005,STR_COM1758,relevant
APP_CON005,STR_COM1762,relevant
APP_CON005,STR_COM1763,relevant
APP_CON005,STR_COM1764,relevant
APP_CON005,STR_COM1765,relevant
APP_CON005,STR_COM1766,relevant
APP_CON005,STR_COM1874,relevant
APP_CON005,STR_COM1920,relevant
APP_CON005,STR_COM1921,relevant
APP_CON005,STR_COM1965,relevant
APP_CON005,STR_COM2358,relevant
APP_CON005,STR_COM2380,relevant
APP_CON005,STR_COM2381,relevant
APP_CON005,STR_COM2659,relevant
APP_CON005,STR_COM2924,relevant
APP_CON005,STR_COM3530,relevant
APP_CON006,APP_CON1289,relevant
APP_CON006,STR_COM017,relevant
APP_CON006,STR_COM1604,relevant
APP_CON006,STR_COM1605,relevant
APP_CON007,STR_COM029,undo
APP_CON007,STR_COM1608,isContained
APP_CON007,STR_COM1755,isContained
APP_CON009,APP_CON819,relevant
APP_CON010,APP_CON819,relevant
APP_CON010,STR_COM1759,relevant
APP_CON011,FUN2404,relevant
APP_CON011,IDEN032,relevant
APP_CON017,APP_CON1079,relevant
APP_CON020,FUN028,relevant
APP_CON022,FUN050,relevant
APP_CON023,FUN053,relevant
APP_CON024,VALUE203,relevant
APP_CON031,FUN069,isInfluenced
APP_CON031,FUN069,undo
APP_CON031,FUN071,execute
APP_CON031,FUN071,undo
APP_CON034,APP_CON060,relevant
APP_CON034,APP_CON689,relevant
APP_CON034,STR_COM079,relevant
APP_CON034,STR_COM1730,relevant
APP_CON034,STR_COM1741,relevant
APP_CON034,STR_COM227,isInfluenced
APP_CON034,STR_COM227,relevant
APP_CON040,STR_COM154,isContained
APP_CON041,STR_COM155,limit
APP_CON046,ACT052,influence
APP_CON047,APP_CON046,limit
APP_CON053,FUN1959,isInfluenced
APP_CON054,STR_COM314,limit
APP_CON054,VALUE060,limit
APP_CON055,ACT069,influence
APP_CON055,APP_CON055,contain
APP_CON055,APP_CON055,isContained
APP_CON055,APP_CON1080,relevant
APP_CON055,APP_CON1081,relevant
APP_CON055,FUN100,relevant
APP_CON055,FUN101,relevant
APP_CON055,FUN127,influence
APP_CON055,FUN145,contain
APP_CON055,FUN145,relevant
APP_CON055,FUN746,relevant
APP_CON055,IDEN187,relevant
APP_CON055,STR_COM086,contain
APP_CON055,STR_COM167,relevant
APP_CON055,STR_COM169,relevant
APP_CON055,STR_COM277,relevant
APP_CON055,STR_COM307,relevant
APP_CON060,APP_CON034,relevant
APP_CON060,APP_CON061,relevant
APP_CON060,APP_CON751,relevant
APP_CON060,APP_CON811,contain
APP_CON060,APP_CON811,isContained
APP_CON060,STR_COM078,relevant
APP_CON060,STR_COM1600,isContained
APP_CON060,STR_COM227,contain
APP_CON060,STR_COM675,relevant
APP_CON061,APP_CON060,relevant
APP_CON061,STR_COM079,relevant
APP_CON061,STR_COM1730,relevant
APP_CON062,ACT136,accomplish
APP_CON062,ACT136,execute
APP_CON062,FUN081,relevant
APP_CON062,STR_COM079,isContained
APP_CON062,STR_COM1730,isContained
APP_CON062,STR_COM1730,relevant
APP_CON062,STR_COM2421,contain
APP_CON062,STR_COM2421,relevant
APP_CON065,APP_CON066,relevant
APP_CON066,APP_CON065,relevant
